,user_id,book_id,is_read,rating,is_reviewed
0,0,948,1,5,0
1,0,947,1,5,1
2,0,946,1,5,0
3,0,945,1,5,0
4,0,944,1,5,0
5,0,943,1,5,0
6,0,942,1,5,0
7,0,941,1,5,0
8,0,940,1,5,0
9,0,939,1,5,1
10,0,938,1,5,1
11,0,937,1,4,0
12,0,936,1,4,0
13,0,935,1,4,0
14,0,934,1,5,1
15,0,933,1,4,0
16,0,932,1,4,0
17,0,931,1,5,0
18,0,930,1,2,1
19,0,929,1,4,1
20,0,928,1,4,1
21,0,927,1,5,1
22,0,926,1,3,1
23,0,925,1,4,1
24,0,924,1,5,0
25,0,923,1,5,1
26,0,922,1,5,0
27,0,921,1,4,1
28,0,920,1,5,1
29,0,919,1,5,0
30,0,918,1,5,1
31,0,917,1,3,1
32,0,916,1,5,0
33,0,915,1,5,1
34,0,914,1,4,1
36,0,912,1,5,1
39,0,909,1,4,1
40,0,908,1,4,0
43,0,905,1,4,1
45,0,903,1,5,1
47,0,901,1,4,1
48,0,900,1,4,1
49,0,899,1,4,1
50,0,898,1,3,0
51,0,897,1,5,1
53,0,895,1,5,1
55,0,893,1,4,0
56,0,892,1,5,0
57,0,891,1,4,1
58,0,890,1,5,1
59,0,889,1,5,0
60,0,888,1,4,1
62,0,886,1,3,1
65,0,883,1,4,1
66,0,882,1,5,1
68,0,880,1,5,1
69,0,879,1,5,1
70,0,878,1,4,0
71,0,877,1,5,1
72,0,876,1,4,0
73,0,875,1,4,0
74,0,874,1,3,1
75,0,873,1,4,0
76,0,872,1,3,0
77,0,871,1,2,0
78,0,870,1,3,0
79,0,869,1,3,1
81,0,867,1,3,1
82,0,866,1,4,1
83,0,865,1,5,1
85,0,863,1,4,1
86,0,862,1,5,0
87,0,861,1,5,1
88,0,860,1,5,1
89,0,859,1,4,0
90,0,858,1,5,1
92,0,856,1,4,1
93,0,855,1,5,1
94,0,854,1,4,0
95,0,853,1,5,0
98,0,850,1,5,1
99,0,849,1,3,1
100,0,848,1,3,1
101,0,847,1,5,1
102,0,846,1,5,1
103,0,845,1,4,1
104,0,844,1,3,0
105,0,843,1,3,0
106,0,842,1,3,0
107,0,841,1,4,1
108,0,840,1,5,1
109,0,839,1,5,0
110,0,838,1,5,1
111,0,837,1,4,0
112,0,836,1,4,1
114,0,834,1,4,1
115,0,833,1,2,0
116,0,832,1,4,0
117,0,831,1,5,1
118,0,830,1,4,1
119,0,829,1,5,1
120,0,828,1,5,0
121,0,827,1,4,0
122,0,826,1,4,1
123,0,825,1,5,0
124,0,824,1,5,1
125,0,823,1,3,1
127,0,821,1,5,0
128,0,820,1,4,1
129,0,819,1,4,1
130,0,818,1,3,1
131,0,817,1,3,1
132,0,816,1,4,1
135,0,813,1,4,1
136,0,812,1,4,1
137,0,811,1,5,1
138,0,810,1,2,0
139,0,809,1,5,0
140,0,808,1,3,0
141,0,807,1,4,1
142,0,806,1,4,1
143,0,805,1,4,1
144,0,804,1,5,1
145,0,803,1,4,1
146,0,802,1,3,1
147,0,801,1,5,0
148,0,800,1,3,1
149,0,799,1,4,1
150,0,798,1,3,1
151,0,797,1,3,0
153,0,795,1,4,1
155,0,793,1,4,0
158,0,790,1,5,0
159,0,789,1,5,0
160,0,788,1,4,0
161,0,787,1,5,0
162,0,786,1,5,0
163,0,785,1,2,0
164,0,784,1,5,1
165,0,783,1,4,1
166,0,782,1,3,1
167,0,781,1,4,1
168,0,780,1,4,1
169,0,779,1,4,1
170,0,778,1,4,1
171,0,777,1,4,1
172,0,776,1,0,0
175,0,773,1,3,0
176,0,772,1,5,0
177,0,771,1,4,0
178,0,770,1,4,0
180,0,768,1,5,0
181,0,767,1,4,0
182,0,766,1,3,1
183,0,765,1,5,0
184,0,764,1,5,0
186,0,762,1,4,1
187,0,761,1,5,1
188,0,760,1,3,0
189,0,759,1,4,0
190,0,758,1,4,0
191,0,757,1,3,0
193,0,755,1,3,1
196,0,752,1,5,1
198,0,750,1,5,0
199,0,749,1,3,0
200,0,748,1,4,0
201,0,747,1,3,0
202,0,746,1,3,0
203,0,745,1,2,0
204,0,744,1,1,1
205,0,743,1,3,0
206,0,742,1,5,0
207,0,741,1,4,0
208,0,740,1,2,0
209,0,739,1,4,1
211,0,737,1,5,1
214,0,734,1,4,1
215,0,733,1,4,1
217,0,731,1,4,0
218,0,730,1,4,1
219,0,729,1,4,1
220,0,728,1,4,1
221,0,727,1,4,1
222,0,726,1,3,1
225,0,723,1,5,1
227,0,721,1,5,0
229,0,719,1,3,1
231,0,717,1,0,0
232,0,716,1,4,0
233,0,715,1,5,1
235,0,713,1,5,0
236,0,712,1,5,0
237,0,711,1,5,0
241,0,707,1,4,1
242,0,706,1,5,1
244,0,704,1,5,0
245,0,703,1,4,1
246,0,702,1,5,0
248,0,700,1,5,1
249,0,699,1,4,0
250,0,698,1,4,0
251,0,697,1,4,0
252,0,696,1,5,1
253,0,695,1,4,1
257,0,691,1,4,0
258,0,690,1,3,0
259,0,689,1,5,1
261,0,687,1,4,1
263,0,685,1,4,1
264,0,684,1,4,1
267,0,681,1,5,0
268,0,680,1,5,0
269,0,679,1,5,0
270,0,678,1,5,0
271,0,677,1,5,0
272,0,676,1,5,0
273,0,675,1,5,0
275,0,673,1,5,1
276,0,672,1,4,1
277,0,671,1,4,0
278,0,670,1,5,0
279,0,669,1,5,0
280,0,668,1,5,0
281,0,667,1,3,0
283,0,665,1,3,0
284,0,664,1,3,0
285,0,663,1,3,0
286,0,662,1,3,0
287,0,661,1,3,0
288,0,660,1,3,0
289,0,659,1,3,0
290,0,658,1,3,0
291,0,657,1,3,0
292,0,656,1,3,0
293,0,655,1,3,0
294,0,654,1,3,0
296,0,652,1,3,0
299,0,649,1,4,1
300,0,648,1,4,1
302,0,646,1,3,1
303,0,645,1,4,1
304,0,644,1,4,1
306,0,642,1,5,1
310,0,638,1,4,1
312,0,636,1,5,0
313,0,635,1,5,1
314,0,634,1,5,1
315,0,633,1,5,0
321,0,627,1,4,0
324,0,624,1,5,0
325,0,623,1,4,1
328,0,620,1,5,0
329,0,619,1,4,1
334,0,614,1,3,0
335,0,613,1,5,1
337,0,611,1,3,0
340,0,608,1,5,1
342,0,606,1,2,1
345,0,603,1,5,0
347,0,601,1,3,1
348,0,600,1,4,1
350,0,598,1,5,0
354,0,594,1,5,0
358,0,590,1,5,0
360,0,588,1,5,1
362,0,586,1,4,0
363,0,585,1,5,1
364,0,584,1,5,1
366,0,582,1,4,0
367,0,581,1,4,1
368,0,580,1,5,1
374,0,574,1,4,1
375,0,573,1,5,1
380,0,568,1,4,0
381,0,567,1,4,0
382,0,566,1,5,0
383,0,565,1,4,0
384,0,564,1,4,0
385,0,563,1,4,0
386,0,562,1,4,0
391,0,557,1,3,1
393,0,555,1,3,1
394,0,554,1,5,0
398,0,550,1,4,1
401,0,547,1,5,0
402,0,546,1,4,1
403,0,545,1,3,1
407,0,541,1,3,0
411,0,537,1,5,0
412,0,536,1,5,1
413,0,535,1,5,1
417,0,531,1,4,0
418,0,530,1,3,0
424,0,524,1,5,1
425,0,523,1,0,0
428,0,520,1,3,1
433,0,515,1,3,0
435,0,513,1,5,1
436,0,512,1,5,1
437,0,511,1,5,1
439,0,509,1,4,1
440,0,508,1,0,0
441,0,507,1,4,0
444,0,504,1,5,1
445,0,503,1,5,0
451,0,497,1,2,0
452,0,496,1,3,1
455,0,493,1,3,0
458,0,490,1,5,1
460,0,488,1,3,1
463,0,485,1,4,0
466,0,482,1,4,1
468,0,480,1,4,1
476,0,472,1,5,1
479,0,469,1,4,1
483,0,465,1,4,1
487,0,461,1,5,0
488,0,460,1,5,0
489,0,459,1,5,0
490,0,458,1,5,0
491,0,457,1,5,1
495,0,453,1,4,1
496,0,452,1,5,1
497,0,451,1,5,1
502,0,446,1,4,0
504,0,444,1,5,0
505,0,443,1,5,0
506,0,442,1,5,0
507,0,441,1,5,0
508,0,440,1,5,0
509,0,439,1,5,0
510,0,438,1,5,0
516,0,432,1,4,0
518,0,430,1,5,1
519,0,429,1,2,0
520,0,428,1,4,0
521,0,427,1,5,0
522,0,426,1,4,1
525,0,423,1,5,0
527,0,421,1,4,1
528,0,420,1,4,1
531,0,417,1,4,1
533,0,415,1,5,1
538,0,410,1,5,1
540,0,408,1,3,1
542,0,406,1,5,0
543,0,405,1,5,1
544,0,404,1,5,0
545,0,403,1,3,1
546,0,402,1,0,0
547,0,401,1,5,0
548,0,400,1,5,0
549,0,399,1,5,0
553,0,395,1,0,0
556,0,392,1,3,0
557,0,391,1,5,0
561,0,387,1,4,0
564,0,384,1,5,0
565,0,383,1,4,1
567,0,381,1,3,1
568,0,380,1,5,0
570,0,378,1,3,1
571,0,377,1,4,1
581,0,367,1,5,1
583,0,365,1,5,0
587,0,361,1,4,0
591,0,357,1,5,0
592,0,356,1,5,0
593,0,355,1,5,0
594,0,354,1,5,0
595,0,353,1,5,0
596,0,352,1,5,0
597,0,351,1,5,0
598,0,350,1,5,0
599,0,349,1,5,0
600,0,348,1,5,0
601,0,347,1,5,0
602,0,346,1,5,0
603,0,345,1,5,0
604,0,344,1,5,0
605,0,343,1,5,0
606,0,342,1,5,0
607,0,341,1,5,0
609,0,339,1,5,0
612,0,336,1,5,1
614,0,334,1,4,1
616,0,332,1,4,1
617,0,331,1,4,0
618,0,330,1,5,0
619,0,329,1,4,0
626,0,322,1,4,1
630,0,318,1,5,1
631,0,317,1,0,0
636,0,312,1,4,1
637,0,311,1,5,1
641,0,307,1,5,1
645,0,303,1,5,1
658,0,290,1,5,0
663,0,285,1,5,0
664,0,284,1,5,0
673,0,275,1,4,1
675,0,273,1,4,0
676,0,272,1,4,1
677,0,271,1,5,1
678,0,270,1,2,0
680,0,268,1,4,0
681,0,267,1,3,0
682,0,266,1,4,0
683,0,265,1,5,1
685,0,263,1,4,1
689,0,259,1,5,0
691,0,257,1,5,1
692,0,256,1,5,1
693,0,255,1,4,0
694,0,254,1,4,0
696,0,252,1,5,0
697,0,251,1,4,1
699,0,249,1,5,0
700,0,248,1,5,1
703,0,245,1,5,0
704,0,244,1,5,1
705,0,243,1,4,1
714,0,234,1,3,0
715,0,233,1,4,1
717,0,231,1,5,1
721,0,227,1,5,1
722,0,226,1,5,1
725,0,223,1,5,1
729,0,219,1,5,1
730,0,218,1,4,0
732,0,216,1,5,1
733,0,215,1,5,0
744,0,204,1,4,0
747,0,201,1,3,0
748,0,200,1,0,0
749,0,199,1,3,1
